"time in sec since January 1, 1970, 00:00:00 (UTC)",heading (degrees),roll (degrees),pitch (degrees),Gx (m/s2),Gy (m/s2),Gz (m/s2),ax (m/s2),ay (m/s2),az (m/s2),gyroscope x (deg/sec),gyroscope y (deg/sec),gyroscope z (deg/sec),magnetometer x (micro-Teslas),magnetometer y (micro-Teslas),magnetometer z (micro-Teslas),temperature celcius,quaternion x,quaternion y,quaternion z,quaternion w,heading (deg),roll (deg),pitch (deg)
1563146667.219405,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.02,-0.17,0.0022222222222222222,-0.0022222222222222222,-0.0011111111111111111,-14.0625,-5.25,-45.875,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146667.260287,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.01,0.03,-0.15,-0.0011111111111111111,0.0,0.0,-13.75,-6.0,-45.5,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146667.299685,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.02,-0.17,0.0,-0.0044444444444444444,0.0,-14.875,-6.0,-46.6875,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146667.338145,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.02,-0.15,-0.0011111111111111111,-0.0022222222222222222,0.0011111111111111111,-14.0625,-6.0,-46.6875,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146667.378301,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.02,0.02,-0.16,0.0,-0.0011111111111111111,0.0011111111111111111,-13.75,-5.5625,-45.875,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146667.420316,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.01,-0.15,0.0011111111111111111,-0.0011111111111111111,-0.0011111111111111111,-13.75,-5.5625,-45.875,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146667.460987,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.04,-0.15,-0.0011111111111111111,-0.0011111111111111111,-0.0011111111111111111,-14.0625,-6.0,-46.25,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146667.500587,0.0,-0.375,5.6875,-0.06,-0.97,9.75,-0.02,0.0,-0.17,-0.0011111111111111111,0.0,0.0011111111111111111,-14.0625,-6.375,-46.25,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146667.538915,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.01,-0.19,0.0011111111111111111,0.0,0.0,-13.75,-5.25,-45.5,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146667.57915,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.01,0.03,-0.19,0.0011111111111111111,0.0,-0.0022222222222222222,-14.5,-5.25,-47.0625,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146667.621033,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.01,-0.17,-0.0011111111111111111,0.0011111111111111111,0.0011111111111111111,-14.5,-5.25,-47.0625,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146667.661977,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.04,-0.19,-0.0011111111111111111,-0.0033333333333333335,-0.0011111111111111111,-14.0625,-5.5625,-46.25,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146667.701269,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.01,0.01,-0.19,0.0,-0.0022222222222222222,0.0011111111111111111,-13.375,-6.0,-45.5,29,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146667.739729,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.01,-0.19,-0.0011111111111111111,0.0,0.0022222222222222222,-13.375,-6.375,-45.875,29,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146667.779844,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.01,0.02,-0.18,0.0,-0.0022222222222222222,0.0011111111111111111,-13.75,-6.0,-46.25,29,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146667.821805,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.01,0.03,-0.18,0.0,-0.0022222222222222222,-0.0011111111111111111,-13.75,-6.0,-46.25,29,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
